"","genes","QEp","pval","qval"
"4326","EPS8",0.586917811014236,0.0157075185859749,0.212769691288486
"4327","KLF10",0.0029421232948331,0.483330380152281,0.835892862401133
"4328","ARR3",0.00753645185293791,0.484585702676971,0.835919439028043
"4329","ARHGAP5",0.119150003139129,0.743371367727031,0.93522227961713
"4330","ALG13",0.0212377699972797,0.352318284738142,0.756356037175104
"4331","PLS1",0.00321465501049987,0.408471544222637,0.798166398684486
"4332","MDFI",0.196682164933632,0.951636587233306,0.991694936721473
"4333","COL6A1",0.00351244761481551,0.615735724648116,0.883792133784948
"4334","TSC22D1",0.02064828475559,0.72100922289417,0.924554148473946
"4335","TMEM187",2.67252744109794e-06,0.415522446681157,0.8040437571625
"4336","MAGI1",7.88812971208196e-07,0.881563357976475,0.975224940894879
"4337","AANAT",0.120089918934627,0.704335843738454,0.918349272717596
"4338","ETS1",0.0263334538294681,0.373201347375143,0.773161615070501
"4339","WFDC2",0.094949265739732,0.52287750453954,0.85651962370101
"4340","ODC1",0.369822827842238,0.27273725896178,0.691213579957666
"4341","CYP7A1",0.346912846078364,0.135153715302719,0.557697080571035
"4342","FLT4",0.000185816494287315,0.133132244455614,0.557003747809744
"4343","GNA15",0.0629543767448107,0.103477458079569,0.507658640492928
"4344","G0S2",0.462239226648861,0.000629304957239883,0.0283310623886818
"4345","OXTR",0.89597967627349,0.475938320106683,0.830313851944474
"4346","KLF5",3.03639864486827e-07,0.808902958123689,0.957875840521749
"4347","PI4KB",0.000249749255115593,0.919736676223111,0.988034722571626
"4348","INPPL1",0.126609316816357,0.472165595681514,0.830313851944474
"4349","CD47",1.1640740511898e-06,0.815744817361643,0.960542611771354
"4350","MCF2",0.000946299584432123,0.99963798361311,0.999701344549983
"4351","EIF4E",0.00106952531996965,0.398072120167609,0.795983742614568
"4352","TNK1",0.00932797327259169,0.809146425388472,0.957875840521749
"4353","MELK",0.681446687543368,0.45614045019924,0.828162232707779
"4354","DDOST",6.41294073591779e-06,0.694423372708413,0.914689933089306
"4355","CPT2",0.471906446102968,0.0137955547496953,0.199448823205416
"4356","CALB2",0.118604947279876,0.0193667712335686,0.238424164891547
"4357","GLI1",0.389619547400699,0.751705210167228,0.938762666599921
"4358","GATA2",0.145079527290056,0.00126930869865733,0.0462592503510671
"4359","PRKCQ",1.53306409977709e-05,0.508569572667321,0.845547373534874
"4360","BTD",1.49699530907191e-06,0.0273502501927331,0.27955492914995
"4361","UBC",0.074109414673845,0.00985713757298023,0.170807455604246
"4362","THOC5",0.000186166230219139,0.920430647217788,0.988034722571626
"4363","GALC",0.000220139980543733,0.573323012080744,0.874175520663732
"4364","GATAD1",0.0554004087795746,0.860418855597372,0.970776768448233
"4365","CEL",0.00432435942936161,0.40558416890705,0.798159327977204
"4366","RASGRF1",0.708374869642683,0.00620617152553397,0.126100617899345
"4367","INPP4B",0.684755299722224,0.0681850918615785,0.430651988820166
"4368","KDELR2",6.51173063075787e-09,0.596672038564185,0.879624656813012
"4369","ALKBH1",0.305064007711868,0.010730670360692,0.178605265157556
"4370","RIT2",0.825121681285828,0.0919164327262752,0.485084623010201
"4371","FABP6",0.14582588597091,0.0119483434850168,0.184234141088098
"4372","ELF1",0.000363389249370334,0.667745728306956,0.903811156102086
"4373","SLK",1.29633389032755e-06,0.66345224322886,0.902328853033245
